"indiv_id","sexF","consY","land","cattle51plus","smlstk101plus","buildingsMud","buildingsIron","vehicle","ageset2","ageset3","ageset4","educated","settlementYears","hhsize","olmareiHead","leadership"
92,0,0,80,0,1,2,0,0,0,1,0,0,3,9,1,0
93,0,0,27,0,1,1,2,0,0,0,0,1,2,7,1,0
94,0,0,150,0,1,2,1,1,0,1,0,1,15,10,1,0
95,1,1,20,0,1,0,1,0,0,0,0,0,1,5,0,0
96,1,1,150,1,0,1,0,0,0,0,0,0,35,5,0,0
97,1,0,150,1,0,0,0,0,0,0,0,0,28,7,0,0
98,1,0,150,1,0,1,0,0,0,0,1,1,22,8,0,0
99,1,0,110,0,0,1,0,0,0,1,0,0,15,5,0,1
100,1,0,150,1,0,1,0,0,0,0,0,0,7,6,0,0
101,1,0,150,1,0,1,0,0,0,0,0,0,17,3,0,0
102,1,0,150,1,0,0,1,0,0,0,0,0,8,5,0,0
103,0,0,30,0,0,1,1,0,0,0,0,0,30,7,1,0
104,0,0,35,0,0,0,1,0,0,0,0,0,30,3,1,0
105,0,0,35,0,0,0,2,1,0,0,0,0,18,6,1,1
106,0,0,35,1,1,1,2,0,0,0,0,0,21,13,1,0
107,0,0,35,1,0,4,2,0,0,0,1,0,18,28,1,0
108,0,0,35,0,0,1,1,0,0,0,0,1,13,6,1,0
109,0,0,39,1,0,2,1,0,0,0,0,1,37,18,1,1
110,0,0,0,0,0,3,0,0,0,0,0,0,30,11,1,0
111,0,0,60,0,1,3,0,0,0,0,1,0,45,36,1,0
112,1,1,120,1,0,0,2,0,0,0,0,0,42,7,0,1
113,1,1,40,0,0,0,1,0,0,0,1,0,32,7,0,1
114,1,1,40,1,0,1,0,0,0,0,1,0,47,6,0,0
115,1,1,40,1,0,1,1,0,0,0,0,0,42,6,0,0
116,1,1,30,1,0,0,1,1,0,1,0,0,24,10,0,0
117,1,1,20,1,0,0,1,0,0,1,0,0,19,10,0,1
118,1,1,20,1,0,1,0,1,0,0,1,0,53,5,0,1
119,1,1,5,0,0,0,1,0,0,1,0,0,13,9,0,0
120,1,1,20,0,0,0,1,0,0,0,0,0,32,7,0,0
