"choice","access","cattle","cons150","cons75","cult","smlstk","wage","indiv_id","choice_id"
0,1,0,1,-1,5,0,-6000,329,11
1,1,100,0,1,0,-200,0,329,16
0,0,60,0,-1,-5,80,4000,329,9
0,1,-60,0,-1,0,0,6000,330,10
1,0,-40,-1,1,-5,0,-4000,330,13
0,1,0,-1,0,0,-200,0,330,15
0,1,0,1,-1,5,0,-6000,330,11
1,0,60,1,0,0,120,0,330,12
1,1,100,0,1,0,-200,0,330,16
1,0,60,0,-1,-5,80,4000,330,9
1,0,-60,-1,1,-5,0,4000,330,14
1,0,0,0,1,5,0,-10000,331,6
0,0,0,0,0,-5,-80,10000,331,4
1,0,40,1,0,0,80,10000,331,5
0,-1,0,1,-1,0,0,-10000,331,7
0,-1,-40,0,0,5,0,0,331,3
0,-1,-100,0,-1,0,200,0,331,8
1,0,-60,-1,1,5,0,0,331,1
0,-1,100,0,0,0,0,-4000,331,2
1,0,0,0,1,5,0,-10000,332,6
1,-1,100,0,0,0,0,-4000,332,2
1,0,40,1,0,0,80,10000,332,5
0,0,0,0,0,-5,-80,10000,332,4
0,-1,-100,0,-1,0,200,0,332,8
0,-1,0,1,-1,0,0,-10000,332,7
0,-1,-40,0,0,5,0,0,332,3
1,0,-60,-1,1,5,0,0,332,1
0,0,-60,-1,1,-5,0,4000,333,14
0,0,60,0,-1,-5,80,4000,333,9
0,0,-40,-1,1,-5,0,-4000,333,13
0,1,0,-1,0,0,-200,0,333,15
1,0,60,1,0,0,120,0,333,12
1,1,0,1,-1,5,0,-6000,333,11
0,1,-60,0,-1,0,0,6000,333,10
1,1,100,0,1,0,-200,0,333,16
0,0,0,0,0,-5,-80,10000,334,4
0,-1,-40,0,0,5,0,0,334,3
1,-1,100,0,0,0,0,-4000,334,2
1,0,0,0,1,5,0,-10000,334,6
1,0,-60,-1,1,5,0,0,334,1
1,0,40,1,0,0,80,10000,334,5
0,-1,-100,0,-1,0,200,0,334,8
0,-1,0,1,-1,0,0,-10000,334,7
1,0,60,1,0,0,120,0,335,12
1,1,0,1,-1,5,0,-6000,335,11
0,0,60,0,-1,-5,80,4000,335,9
1,1,100,0,1,0,-200,0,335,16
0,0,-40,-1,1,-5,0,-4000,335,13
0,1,0,-1,0,0,-200,0,335,15
0,1,-60,0,-1,0,0,6000,335,10
0,0,-60,-1,1,-5,0,4000,335,14
1,0,-60,-1,1,5,0,0,336,1
1,0,40,1,0,0,80,10000,336,5
0,-1,-100,0,-1,0,200,0,336,8
0,-1,-40,0,0,5,0,0,336,3
1,-1,100,0,0,0,0,-4000,336,2
0,-1,0,1,-1,0,0,-10000,336,7
0,0,0,0,0,-5,-80,10000,336,4
1,0,0,0,1,5,0,-10000,336,6
1,1,100,0,1,0,-200,0,337,16
0,0,-40,-1,1,-5,0,-4000,337,13
1,1,0,-1,0,0,-200,0,337,15
1,0,60,1,0,0,120,0,337,12
0,0,-60,-1,1,-5,0,4000,337,14
0,1,0,1,-1,5,0,-6000,337,11
0,1,-60,0,-1,0,0,6000,337,10
0,0,60,0,-1,-5,80,4000,337,9
0,-1,-100,0,-1,0,200,0,338,8
1,0,0,0,1,5,0,-10000,338,6
0,-1,0,1,-1,0,0,-10000,338,7
0,-1,-40,0,0,5,0,0,338,3
0,0,0,0,0,-5,-80,10000,338,4
1,0,40,1,0,0,80,10000,338,5
0,0,-60,-1,1,5,0,0,338,1
1,-1,100,0,0,0,0,-4000,338,2
1,1,100,0,1,0,-200,0,339,16
0,0,-60,-1,1,-5,0,4000,339,14
0,0,-40,-1,1,-5,0,-4000,339,13
0,1,0,-1,0,0,-200,0,339,15
0,1,-60,0,-1,0,0,6000,339,10
1,0,60,1,0,0,120,0,339,12
1,1,0,1,-1,5,0,-6000,339,11
0,0,60,0,-1,-5,80,4000,339,9
1,0,-60,-1,1,5,0,0,340,1
0,-1,-100,0,-1,0,200,0,340,8
1,0,40,1,0,0,80,10000,340,5
1,0,0,0,1,5,0,-10000,340,6
0,-1,-40,0,0,5,0,0,340,3
1,-1,100,0,0,0,0,-4000,340,2
0,0,0,0,0,-5,-80,10000,340,4
