"","Policy_1","Policy_2","Policy_3","Policy_4","Policy_5","Effective_1","Effective_2","Effective_3","Effective_4","Effective_5","Condition","AgeGrp","Gender","SES","Education","Ethnic","BMI","Political","Government_Trust","Situation","Disposition","Help","OWght_Envir","OWght_Willpower","weights"
"799",0.333333333333333,0,1,0,2,-1,0,1,0,2,"Conscious","[18,30[","Female","DE","2","White",36.9822485207101,4,-1,0,0.5,1,2,2,0.000752152774279812
"800",-3,-2.66666666666667,-0.333333333333333,-3,2,-3,-3,-3,-3,1,"Conscious","[18,30[","Male","DE","2","White",26.9889613467499,4,1,-0.5,1,1,3,0,0.00162783662846691
"801",-3,-0.333333333333333,0.333333333333333,-3,3,-3,-2,-3,-3,2,"Conscious","[30,40[","Male","DE","3","White",28.7308586916321,4,-2,0,1,-1,0,0,0.000779349935540919
"802",1,1.33333333333333,2.33333333333333,1,2,1,2,2,1,2,"Conscious","[18,30[","Male","DE","3","White",30.2650309129224,2,1,-1,2.5,3,0,3,0.00162783662846691
"803",1,-2,3,-3,2,-3,-2,2,-3,2,"Conscious","[30,40[","Male","DE","1","White",32.2782554322825,4,1,-1,1,1,3,0,0.000779349935540919
"804",3,1.66666666666667,0.333333333333333,1,3,3,-3,-3,3,3,"Conscious","[18,30[","Male","DE","2","White",32.0596399308768,4,-3,0,0,2,3,2,0.00162783662846691
"805",-1,3,-3,-3,0,-1,3,-3,-3,0,"Conscious","[18,30[","Female","DE","1","White",46.0909066979424,4,-3,3,3,-1,0,-1,0.000752152774279812
"806",0,0,2,2,1,-1,1,1,1,0,"Conscious","[50,65[","Female","AB","4","White",18.3795743058306,4,-2,0,2,-3,1,0,0.000524770877255927
"807",-3,-3,-1.33333333333333,-3,0,-3,-3,-3,-3,-3,"Conscious","[30,40[","Female","AB","2","White",19.9791883454735,4,-3,1,0,-3,-2,2,0.000545279298606477
"808",3,1,1,-2,3,2,-2,-3,3,2,"Conscious","[30,40[","Female","AB","4","White",20.3711162776319,4,-1,3,3,3,3,3,0.000545279298606477
"809",1.66666666666667,1.66666666666667,2,1.66666666666667,2.66666666666667,-3,-3,-2,0,0,"Conscious","[50,65[","Male","AB","4","White",20.0561924561349,6,-2,-2,3,-3,0,3,0.000456524062824426
"810",-1,-1,0,2,1,-1,-1,0,1,-1,"Conscious","[65,Inf[","Female","AB","4","White",21.7992655467733,4,-2,2,2,-2,2,2,0.00103577766146709
"811",-3,3,3,-3,2,-3,-2,-3,-3,-1,"Conscious","[50,65[","Female","AB","4","White",23.2283537147719,5,1,1,1,-3,-2,3,0.000524770877255927
"812",3,1.33333333333333,2.66666666666667,2,3,2,0,1,1,1,"Conscious","[50,65[","Female","AB","2","White",23.0282183668424,6,1,0.5,2,-2,3,3,0.000524770877255927
"813",0,-0.333333333333333,-0.333333333333333,2.33333333333333,2.66666666666667,-3,-3,-3,3,0,"Conscious","[40,50[","Female","AB","4","Other",44.6124763705104,4,-1,0,1.5,-2,2,2,0.000527139558827125
"814",3,3,3,3,3,1,0,1,2,1,"Conscious","[40,50[","Female","AB","2","White",23.2053584540528,4,1,1,1,-1,0,1,0.000527139558827125
"815",3,-0.666666666666667,3,-3,3,2,-2,1,-3,1,"Conscious","[30,40[","Female","AB","2","White",20.2812330989724,6,1,1,1,-3,2,3,0.000545279298606477
"816",0,0.666666666666667,2.66666666666667,1,1.66666666666667,-1,0,1,1,1,"Conscious","[50,65[","Female","AB","4","White",23.4316417234497,5,1,1,1,-2,1,3,0.000524770877255927
"817",1,-0.666666666666667,1,-3,1,0,-2,0,-3,0,"Conscious","[40,50[","Female","AB","3","Other",23.3440949059632,4,1,1,1,0,-1,1,0.000527139558827125
"818",1.33333333333333,1,1,-3,3,-3,-1,-3,-1,-3,"Conscious","[40,50[","Female","AB","2","Other",25.6060592766347,4,-1,2.5,1.5,-3,-2,3,0.000527139558827125
"819",-0.333333333333333,-1.33333333333333,0,1,2,-1,-3,-2,1,1,"Conscious","[40,50[","Female","AB","4","White",20.2311756868412,3,0,-1,2,-3,1,1,0.000527139558827125
"820",-2,-2.33333333333333,-3,-3,1,-3,-3,-3,-3,1,"Conscious","[40,50[","Female","AB","4","White",23.7961890835024,4,-2,0,1,-2,0,-1,0.000527139558827125
"821",1,3,3,3,3,1,2,1,3,3,"Conscious","[50,65[","Female","AB","2","White",23.9625959488605,6,0,3,3,-3,1,2,0.000524770877255927
"822",3,2,2.66666666666667,2.66666666666667,2.33333333333333,3,2,3,3,1,"Conscious","[40,50[","Female","AB","4","White",25.232220435144,3,-2,2,1.5,1,1,3,0.000527139558827125
"823",1,1,1,1,1,1,1,1,1,0,"Conscious","[30,40[","Female","AB","4","White",25.232220435144,4,-1,0,1,-1,1,1,0.000545279298606477
"824",-2.33333333333333,0,0,-3,3,-3,-3,-3,-3,1,"Conscious","[50,65[","Male","AB","4","White",20.0721921119768,6,-2,-0.5,3,-3,-1,2,0.000456524062824426
"825",1,0.666666666666667,1,1.33333333333333,2,0,0,0,1,0,"Conscious","[50,65[","Female","AB","4","White",25.2938508717254,4,1,0.5,2,0,-2,2,0.000524770877255927
"826",1.66666666666667,1,2.66666666666667,0.666666666666667,3,0,-3,1,0,1,"Conscious","[50,65[","Male","AB","4","White",23.8134906996837,3,-2,0.5,0.5,0,1,1,0.000456524062824426
"827",-1,1,-1,-3,1,-1,0,-1,-3,1,"Conscious","[50,65[","Female","AB","4","White",25.0173852276079,4,-2,0,2,1,-2,3,0.000524770877255927
"828",2,3,3,2,2,3,3,3,3,3,"Conscious","[50,65[","Female","AB","4","White",29.2866783261113,4,-1,2,2,2,1,1,0.000524770877255927
"829",3,3,3,3,3,-3,-3,0,0,0,"Conscious","[30,40[","Female","AB","2","White",22.5269118497421,4,-3,-1.5,0,-3,-2,3,0.000545279298606477
"830",-1,1,2.33333333333333,-2,3,0,-2,0,0,1,"Conscious","[40,50[","Female","AB","4","White",23.1044403913765,2,-2,1,1,-1,2,1,0.000527139558827125
"831",-3,0.333333333333333,-2,-1,2.66666666666667,-3,-3,-2,0,0,"Conscious","[30,40[","Male","AB","4","White",25.9857998366134,4,1,1,1,1,3,3,0.00070051739113966
"832",2,2.33333333333333,2.33333333333333,0,2.33333333333333,2,2,2,0,2,"Conscious","[30,40[","Male","AB","3","White",31.4428178023023,4,-3,2,3,3,3,3,0.00070051739113966
"833",1.66666666666667,0,0,1,3,-1,-3,-3,-1,-2,"Conscious","[40,50[","Female","AB","2","White",23.9229601122508,4,1,0.5,3,0,1,2,0.000527139558827125
"834",2.33333333333333,1,2.66666666666667,1.66666666666667,2.33333333333333,1,1,2,2,2,"Conscious","[30,40[","Female","AB","2","White",25.0593070266297,3,-2,2,1,2,3,2,0.000545279298606477
"835",-3,1,-3,-3,-3,-3,1,-3,-3,-3,"Conscious","[30,40[","Male","AB","4","White",23.7099322046293,2,-2,0.5,0.5,2,-3,2,0.00070051739113966
"836",1.33333333333333,-2.33333333333333,2.33333333333333,1,0.666666666666667,1,-3,1,-1,-2,"Conscious","[50,65[","Male","AB","2","White",24.1283426427198,5,-2,0.5,2,-3,0,2,0.000456524062824426
"837",0,-2,-0.666666666666667,1,2,-2,-2,-3,-1,2,"Conscious","[40,50[","Female","AB","2","White",29.6950623198121,4,-3,2,2,-3,3,1,0.000527139558827125
"838",0.666666666666667,1.33333333333333,1.66666666666667,0.666666666666667,1.33333333333333,-1,-3,-3,0,-2,"Conscious","[30,40[","Male","AB","4","White",23.5983881689986,5,0,-0.5,3,-3,-2,3,0.00070051739113966
"839",-2,-0.333333333333333,1,-3,1,-3,-2,0,-3,0,"Conscious","[40,50[","Female","AB","3","White",27.2519590706368,4,-1,1,3,1,-2,2,0.000527139558827125
"840",0,-1,1.66666666666667,-3,3,3,-3,1,-3,2,"Conscious","[50,65[","Male","AB","1","White",23.734011048269,7,1,-3,3,-3,3,3,0.000456524062824426
"841",-2,-2.33333333333333,2,-3,3,-2,-3,1,-1,1,"Conscious","[40,50[","Male","AB","2","White",24.4072829347801,2,-2,1,1,-2,-2,-1,0.000590828245037618
"842",1,1,2,1,3,0,0,1,0,1,"Conscious","[40,50[","Male","AB","2","White",22.8536012221769,6,1,2,2,-3,0,1,0.000590828245037618
"843",1.66666666666667,1.33333333333333,1,-1.66666666666667,0,1,-1,-1,-1,-2,"Conscious","[50,65[","Male","AB","4","White",26.2857215485488,2,-1,0,2,0,1,2,0.000456524062824426
"844",0,0,3,3,3,-1,-1,1,2,1,"Conscious","[30,40[","Male","AB","4","White",25.6835488364854,6,2,0.5,1.5,1,1,2,0.00070051739113966
"845",2,2,2,2,2,1,2,0,1,0,"Conscious","[40,50[","Female","AB","4","White",27.6727074864184,3,-1,0.5,1,-2,1,1,0.000527139558827125
"846",1.66666666666667,0.666666666666667,0.666666666666667,3,3,0,-2,-1,0,-1,"Conscious","[50,65[","Male","AB","4","White",26.0809253021006,5,2,1,2,-2,2,2,0.000456524062824426
"847",3,1,3,3,3,1,1,1,1,1,"Conscious","[50,65[","Male","AB","4","White",24.9352753725211,5,2,-1,3,-3,0,3,0.000456524062824426
"848",3,3,3,3,3,1,1,1,3,2,"Conscious","[40,50[","Male","AB","1","White",26.499335740191,6,2,1,2,2,3,3,0.000590828245037618
"849",2,0.333333333333333,2.33333333333333,2,2.33333333333333,-1,-1,-1,1,-1,"Conscious","[40,50[","Female","AB","4","White",35.8484829872885,3,1,-1.5,2,0,-1,1,0.000527139558827125
"850",1.33333333333333,-1.33333333333333,1,-1,3,-2,-3,-2,1,1,"Conscious","[50,65[","Male","AB","4","White",28.0335079614813,2,-3,-2,2,-1,1,3,0.000456524062824426
"851",3,3,3,-3,3,1,1,1,-3,1,"Conscious","[50,65[","Female","AB","1","White",34.8444950307869,4,-3,-3,0,1,1,3,0.000524770877255927
"852",-1,-1,-0.333333333333333,-0.333333333333333,-1.33333333333333,-3,-3,-3,-3,-3,"Conscious","[50,65[","Male","AB","4","White",28.5913885456019,4,-3,-0.5,-0.5,1,-1,-1,0.000456524062824426
"853",3,2,0,-1.33333333333333,3,2,1,-1,-3,2,"Conscious","[65,Inf[","Female","AB","4","White",43.142534235978,2,1,-1,3,2,1,3,0.00103577766146709
"854",3,3,3,3,3,3,3,3,3,3,"Conscious","[50,65[","Male","AB","4","White",29.0027586228012,4,1,3,2.5,2,3,2,0.000456524062824426
"855",-3,1,-3,-3,-1,0,0,-2,0,0,"Conscious","[40,50[","Male","AB","4","White",31.135922618784,4,-3,1,2,-3,1,2,0.000590828245037618
"856",2,2.33333333333333,2.33333333333333,1.66666666666667,3,1,1,1,1,2,"Conscious","[50,65[","Male","AB","4","White",29.5657966508834,2,-2,2,2.5,2,2,1,0.000456524062824426
"857",-2.66666666666667,-2,-3,1.33333333333333,2.66666666666667,1,-3,-3,1,1,"Conscious","[40,50[","Male","AB","4","White",26.0177532904806,3,1,0.5,3,-3,1,3,0.000590828245037618
"858",2,-0.666666666666667,-3,-2.33333333333333,0.333333333333333,1,-3,-3,-3,-2,"Conscious","[50,65[","Female","AB","2","White",38.6207460891484,4,-1,-1,2.5,1,-2,1,0.000524770877255927
"859",1.33333333333333,-1,2,-3,3,-1,-1,2,-3,1,"Conscious","[40,50[","Male","AB",NA,"Other",32.4074074074074,5,1,0,0.5,2,2,1,0.000590828245037618
"860",0.333333333333333,0.666666666666667,0.666666666666667,1,0.666666666666667,-1,-1,-1,1,-1,"Conscious","[50,65[","Male","AB","3","White",37.2756685589112,6,-1,1,1,0,1,2,0.000456524062824426
"861",2.66666666666667,0,3,2,3,2,-3,2,2,2,"Conscious","[50,65[","Female","AB","4","White",39.6048464286278,2,-3,2,2,3,3,0,0.000524770877255927
"862",3,3,3,-2,3,-1,1,0,2,0,"Conscious","[50,65[","Male","AB","4","White",46.1218934737016,3,0,1,2,0,-1,2,0.000456524062824426
"863",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,"Conscious","[40,50[","Male","C1C2","2","White",9.42696599926072,6,2,0,0,0,-2,-2,0.00134987712579463
"864",1.33333333333333,1.66666666666667,1.66666666666667,1,3,-1,1,0,0,1,"Conscious","[40,50[","Female","C1C2","4","White",18.1383534601389,4,-3,-1,2,-3,-2,-3,0.00120436630871786
"865",-0.333333333333333,-1.66666666666667,-1,-1.66666666666667,1.33333333333333,-3,-3,-3,-3,-3,"Conscious","[50,65[","Female","C1C2","2","White",21.161986962512,4,-3,-2,3,-2,3,3,0.00119895453448718
"866",-2,-3,-2,-2,-1.33333333333333,-3,-3,-3,-2,-2,"Conscious","[50,65[","Female","C1C2","2","White",20.8506481529092,4,-1,0,1,0,0,1,0.00119895453448718
"867",2,1.33333333333333,2.33333333333333,-1,2,3,1,1,0,1,"Conscious","[40,50[","Female","C1C2","2","White",21.5822496161121,4,1,1,1.5,-2,1,2,0.00120436630871786
"868",1,0.666666666666667,0,-3,1,-2,-2,-3,-1,1,"Conscious","[40,50[","Female","C1C2","4","White",19.9688297128074,5,-3,2,2,-3,-2,2,0.00120436630871786
"869",1,2,-3,-2.33333333333333,2.33333333333333,-3,0,-3,-2,1,"Conscious","[50,65[","Female","C1C2","2","White",23.2283537147719,5,-2,1,1,2,2,-1,0.00119895453448718
"870",1.33333333333333,1.66666666666667,1.66666666666667,0,1,0,0,0,-1,-1,"Conscious","[50,65[","Female","C1C2","2","White",24.1428555437756,4,-3,0,0,0,3,3,0.00119895453448718
"871",1,1,1,1,1,0,-1,-1,0,-1,"Conscious","[30,40[","Female","C1C2","4","White",23.6873903191166,6,-3,-0.5,2,-1,0,2,0.00124581053553281
"872",1,-2.66666666666667,3,-1,2.33333333333333,1,-3,2,-3,-1,"Conscious","[40,50[","Female","C1C2","3","White",22.5963479934306,4,-3,2,-1,-3,1,1,0.00120436630871786
"873",1,0,0,0,1,0,0,0,0,0,"Conscious","[50,65[","Male","C1C2","4","White",22.5963479934306,4,0,0,0,-3,0,1,0.00104302967056405
