"","Policy_1","Policy_2","Policy_3","Policy_4","Policy_5","Effective_1","Effective_2","Effective_3","Effective_4","Effective_5","Condition","AgeGrp","Gender","IncomeGrp","Education","Ethnic","Race","BMI","Political","Government_Trust","Situation","Disposition","Help","OWght_Envir","OWght_Willpower","weights"
"894",-1.66666666666667,1.66666666666667,2,-3,2,-2,-3,-2,-3,1,"Non-Conscious","[30,40[","Female","[50K,Inf[","high","Other","Other",21.2164424328849,6,-1,0,2,-1,1,1,0.000683058388810492
"895",-3,-3,-3,-3,0,-2,-2,-2,-3,-2,"Non-Conscious","[40,Inf[","Male","[50K,Inf[","high","Other","White",21.1994621965836,4,0,-2,2,1,1,1,0.00322857476524819
"896",-1,1,1.66666666666667,0.333333333333333,3,-2,0,-1,0,1,"Control","[30,40[","Male","[25K,50K[","high","Other","White",21.188553633218,3,-1,2,3,2,3,2,0.000361968520790085
"897",-3,0,1,-3,1.33333333333333,-2,-1,-1,-2,0,"Control","[18,25[","Male","[50K,Inf[","mid","Other","White",21.1845116896954,4,-3,0,3,-1,-2,2,0.000599341322439205
"898",-1,0,2,0.666666666666667,2.33333333333333,0,-1,2,1,2,"Control","[30,40[","Female","[0,25K[","high","Other","White",21.1437549183853,2,0,0,0,0,2,0,0.000539357163860392
"899",-3,3,3,-3,3,1,-1,0,0,1,"Control","[18,25[","Female","[50K,Inf[","high","Latino","Other",21.1437549183853,1,-2,1.5,2,-3,2,2,0.00104962564055752
"900",-2.33333333333333,-2.33333333333333,-0.333333333333333,-3,3,-3,-3,0,-2,2,"Conscious","[25,30[","Male","[50K,Inf[","mid","Other","White",21.1437549183853,2,-2,1,2,-2,-2,1,0.000342097418045811
"901",3,2,0,3,3,3,1,-1,2,2,"Control","[25,30[","Female","[25K,50K[","mid","Other","White",21.1336719004799,2,-2,2,1,1,2,1,0.00030140317859617
"902",1.66666666666667,1,2.66666666666667,-1.66666666666667,3,1,-1,1,-1,1,"Non-Conscious","[30,40[","Female","[25K,50K[","high","Other","White",21.1126679089296,2,-1,1,1,-1,1,3,0.000397070133003293
"903",2,2,2,1.33333333333333,2,2,2,2,2,1,"Conscious","[18,25[","Female","[25K,50K[","mid","Other","White",21.1126679089296,2,1,1,2,0,1,3,0.000610160126172568
"904",-1.66666666666667,1.33333333333333,2,-0.333333333333333,0.666666666666667,-1,0,0,-1,2,"Non-Conscious","[30,40[","Male","[25K,50K[","high","Other","White",21.1092214265494,2,0,1,0.5,2,-1,1,0.000361968520790085
"905",1.33333333333333,0,0,-1,1.66666666666667,0,-1,-1,0,1,"Conscious","[25,30[","Male","[50K,Inf[","high","Other","White",21.1092214265494,3,0,2,2,-3,2,2,0.000342097418045811
"906",-1,-1.33333333333333,-2,-1.66666666666667,-1.66666666666667,-1,-2,-2,-2,-2,"Conscious","[18,25[","Male","[0,25K[","mid","Other","White",21.1092214265494,5,0,0,-1.5,-1,-1,-2,0.000473252420511348
"907",1.33333333333333,-1.33333333333333,1.66666666666667,-3,2.66666666666667,0,-3,0,-3,2,"Conscious","[30,40[","Male","[25K,50K[","high","Other","Other",21.0920701841404,6,-3,1,3,2,2,1,0.000361968520790085
"908",2.33333333333333,1.66666666666667,3,2.66666666666667,3,1,-1,-3,2,1,"Non-Conscious","[40,Inf[","Female","[25K,50K[","mid","Latino","White",21.0335420670841,2,1,1,3,1,1,2,0.00153760751964656
"909",1.33333333333333,3,-1.33333333333333,-2.66666666666667,2,2,3,-1,-2,2,"Conscious","[18,25[","Female","[50K,Inf[","mid","Other","White",21.0335420670841,2,2,1.5,1.5,2,1,2,0.00104962564055752
"910",-2,2.33333333333333,3,2.66666666666667,2.66666666666667,0,-2,2,3,1,"Control","[30,40[","Male","[50K,Inf[","high","Other","White",21.0215462869197,6,-2,3,2,0,3,2,0.000622674973665024
"911",-3,-0.666666666666667,-0.666666666666667,-3,1.66666666666667,-1,-2,-1,0,3,"Non-Conscious","[30,40[","Male","[0,25K[","mid","Other","White",21.0215462869197,1,-3,2,1,-3,1,3,0.000491677158650617
"912",0,0.333333333333333,0,0,1,-1,0,-1,0,1,"Conscious","[40,Inf[","Male","[50K,Inf[","high","Other","White",21.0215462869197,2,1,0.5,2,1,0,1,0.00322857476524819
"913",2,1,2,1,3,0,-2,-3,-1,0,"Conscious","[25,30[","Female","[0,25K[","high","Other","White",20.9825957714199,7,-3,1.5,2.5,1,2,3,0.000409408691498814
"914",1.33333333333333,-2.33333333333333,-1,1.66666666666667,1.33333333333333,1,-3,-3,2,1,"Non-Conscious","[25,30[","Male","[50K,Inf[","high","Other","White",20.9823165284531,2,-1,-2,2,2,3,1,0.000342097418045811
"915",3,-1,2.66666666666667,-2,1.33333333333333,1,-3,-1,-2,-1,"Non-Conscious","[40,Inf[","Female","[25K,50K[","high","Other","White",20.9823165284531,7,-2,-1,2,0,2,1,0.00153760751964656
"916",-2,1,1,-3,2,-2,1,-1,-3,1,"Control","[40,Inf[","Female","[25K,50K[","mid","Other","White",20.9205219045233,2,-2,1,2,0,1,1,0.00153760751964656
"917",-0.666666666666667,0.333333333333333,1.33333333333333,0.666666666666667,2,-1,0,1,1,1,"Non-Conscious","[18,25[","Male","[25K,50K[","low","Other","White",20.9205219045233,2,-2,1,2,1,2,1,0.000348404386087307
"918",-2,1,1,-3,2,-3,-2,-2,-2,1,"Conscious","[18,25[","Female","[25K,50K[","mid","Latino","White",20.8967732379909,4,-3,-1,3,1,1,3,0.000610160126172568
"919",1.33333333333333,0.666666666666667,1.66666666666667,-2.33333333333333,1.33333333333333,1,1,1,-2,1,"Non-Conscious","[25,30[","Female","[50K,Inf[","high","Other","White",20.8506417012834,6,1,1.5,1,1,1,-1,0.000518487673694042
"920",1,-0.666666666666667,1.66666666666667,-2,2,0,-2,-1,0,-2,"Conscious","[30,40[","Female","[50K,Inf[","high","Other","White",20.8305141047796,5,-2,0,2,-1,3,2,0.000683058388810492
"921",3,3,3,0,3,2,2,1,1,2,"Non-Conscious","[40,Inf[","Female","[0,25K[","high","Other","White",20.8209140936188,6,-3,3,3,3,3,3,0.0020885973584926
"922",3,3,3,-3,3,1,2,0,-3,0,"Non-Conscious","[18,25[","Male","[50K,Inf[","high","Other","White",20.8051032428595,4,-1,1,1,1,2,3,0.000599341322439205
"923",-0.333333333333333,2,2,-1,2,1,1,1,1,-1,"Non-Conscious","[30,40[","Female","[50K,Inf[","low","Other","White",20.8051032428595,5,1,0,1.5,-3,2,-1,0.000683058388810492
"924",2,2.66666666666667,2.33333333333333,2,2.33333333333333,2,1,1,2,2,"Conscious","[18,25[","Male","[25K,50K[","mid","Latino","White",20.8051032428595,4,-1,1,1.5,-2,2,1,0.000348404386087307
