Res_ID	sur_point	date	FDA	sex	age	m_activity	write_read	schooling	adult	child	crop_income	live_income	off_income	other_income	land_farm	land_graze	L_quality	CL_access	env_mgt	type_mgt1	labour_fam1	labour_hire1	wage1	other_exp1	type_mgt2	labour_fam2	labour_hire2	wage2	other_exp2	mgt_type3	labour_fam3	labour_hire3	wage3	other_exp3	mgt_type4	labour_fam4	labour_hire4	wage4	other_exp4	mgt_type5	labour_fam5	labour_hire5	wage5	other_exp5	mgt_type6	labour_fam6	labour_hire6	wage6	other_exp6	No_reason1	No_reason2	No_reason3	livestock	ox	ox_value	cow	cow_value	horse	horse_value	calve	calve_value	donkey	donk_value	sheep	sheep_value	goat	goat_value	camel	camel_value	chicken	chick_value	pig	pig_value	rabbit	rabbit_value	far_union	prod_org	MKEPP	agro_forest	other_env	fina_access	mkt_access	env_info	debit	land_area	year	harvest_right	reward	local_admin	free_labour	Rating	LandArea20precent	LandArea40percent	CommitPeriod15yrs	CommitPeriod30yrs	HarvestNotPermitted	HarvestPartial	RewardExtensionFee	RewardElectricity	RewardCash	LocalAdminFDAC	LocalAdminCFA	FreeLabour2dys	FreeLabour3dys
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"10%"	5	"permitted"	"water"	"CFA"	3	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"40%"	5	"partial"	"extension"	"WRUA"	3	1	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"10%"	5	"not permitted"	"electricity"	"CFA"	1	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	30	"partial"	"cash"	"FDAC"	2	4	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"10%"	15	"not permitted"	"cash"	"CFA"	1	3	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"40%"	30	"permitted"	"electricity"	"FDAc"	2	1	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	15	"permitted"	"electricity"	"WRUA"	3	4	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
"MU06"	4	13	"Mutathari"	2	67	10	1	22	4	3	30000	1500	0	0	3.0	1.0	3.0	2	1	1	60	"0"	0	6000	6	7	0	0	5000	2																							1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	15	"not permitted"	"water"	"FDAC"	1	3	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"20%"	30	"not permitted"	"electricity"	"WRUA"	1	1	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"20%"	30	"not permitted"	"extension"	"FDAC"	1	1	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
