Res_ID	sur_point	date	FDA	sex	age	m_activity	write_read	schooling	adult	child	crop_income	live_income	off_income	other_income	land_farm	land_graze	L_quality	CL_access	env_mgt	type_mgt1	labour_fam1	labour_hire1	wage1	other_exp1	type_mgt2	labour_fam2	labour_hire2	wage2	other_exp2	mgt_type3	labour_fam3	labour_hire3	wage3	other_exp3	mgt_type4	labour_fam4	labour_hire4	wage4	other_exp4	mgt_type5	labour_fam5	labour_hire5	wage5	other_exp5	mgt_type6	labour_fam6	labour_hire6	wage6	other_exp6	No_reason1	No_reason2	No_reason3	livestock	ox	ox_value	cow	cow_value	horse	horse_value	calve	calve_value	donkey	donk_value	sheep	sheep_value	goat	goat_value	camel	camel_value	chicken	chick_value	pig	pig_value	rabbit	rabbit_value	far_union	prod_org	MKEPP	agro_forest	other_env	fina_access	mkt_access	env_info	debit	land_area	year	harvest_right	reward	local_admin	free_labour	Rating	LandArea20precent	LandArea40percent	CommitPeriod15yrs	CommitPeriod30yrs	HarvestNotPermitted	HarvestPartial	RewardExtensionFee	RewardElectricity	RewardWater	LocalAdminFDAC	LocalAdminCFA	FreeLabour2dys	FreeLabour3dys	edu_primary	edu_secondary	edu_AboveSec	hhsize	Agri_Income	NonAgri_income	LandSize	Totincome	BinaryChoice	NrmAgri_Income	NrmNonAgri_income
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"20%"	15	"not permitted"	"electricity"	"CFA"	2	4	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	0.0	0.07812825	0.0
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"20%"	15	"partial"	"electricity"	"FDAC"	2	4	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	0.0	0.07812825	0.0
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"10%"	5	"permitted"	"cash"	"WRUA"	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	0.0	0.07812825	0.0
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"40%"	30	"partial"	"cash"	"FDAC"	1	4	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	0.0	0.07812825	0.0
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"40%"	5	"partial"	"electricity"	"WRUA"	3	4	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	0.0	0.07812825	0.0
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"10%"	5	"permitted"	"water"	"WRUA"	2	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	1.0	0.07812825	0.0
"KI23"	16	13	"Kiriari"	0	66	10	2	20	3	1	20000	28080	0	0	15.0	1.0	3.0	0	1	1	0	"7"	600	0																													1	1	10000	2	60000	0	0	1	10000	0	0	5	5000	0	0	0	0	2	300	0	0	1	100	2	1	1	2	1	1	2	0	2	"40%"	15	"not permitted"	"water"	"FDAC"	3	4	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	48080.0	0.0	16.0	48080.0	0.0	0.07812825	0.0
"KI33"	14	13	"Kiriari"	1	42	10	1	23	7	2	60000	24000	0	0	1.75	0.25	1.0	0	1	1	7	"30"	3000	0																													1	1	10000	2	70000	0	0	1	20000	0	0	0	0	2	10000	0	0	2	1000	0	0	0	0	2	1	0	2	1	1	2	0	1	"40%"	5	"partial"	"water"	"WRUA"	2	4	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	9.0	84000.0	0.0	2.0	84000.0	0.0	0.14038128	0.0
"KI33"	14	13	"Kiriari"	1	42	10	1	23	7	2	60000	24000	0	0	1.75	0.25	1.0	0	1	1	7	"30"	3000	0																													1	1	10000	2	70000	0	0	1	20000	0	0	0	0	2	10000	0	0	2	1000	0	0	0	0	2	1	0	2	1	1	2	0	1	"10%"	5	"not permitted"	"water"	"CFA"	1	5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	9.0	84000.0	0.0	2.0	84000.0	1.0	0.14038128	0.0
"KI33"	14	13	"Kiriari"	1	42	10	1	23	7	2	60000	24000	0	0	1.75	0.25	1.0	0	1	1	7	"30"	3000	0																													1	1	10000	2	70000	0	0	1	20000	0	0	0	0	2	10000	0	0	2	1000	0	0	0	0	2	1	0	2	1	1	2	0	1	"10%"	30	"not permitted"	"cash"	"FDAC"	3	4	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	9.0	84000.0	0.0	2.0	84000.0	0.0	0.14038128	0.0
"KI33"	14	13	"Kiriari"	1	42	10	1	23	7	2	60000	24000	0	0	1.75	0.25	1.0	0	1	1	7	"30"	3000	0																													1	1	10000	2	70000	0	0	1	20000	0	0	0	0	2	10000	0	0	2	1000	0	0	0	0	2	1	0	2	1	1	2	0	1	"20%"	15	"not permitted"	"cash"	"CFA"	1	4	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	9.0	84000.0	0.0	2.0	84000.0	0.0	0.14038128	0.0
"KI33"	14	13	"Kiriari"	1	42	10	1	23	7	2	60000	24000	0	0	1.75	0.25	1.0	0	1	1	7	"30"	3000	0																													1	1	10000	2	70000	0	0	1	20000	0	0	0	0	2	10000	0	0	2	1000	0	0	0	0	2	1	0	2	1	1	2	0	1	"10%"	15	"partial"	"electricity"	"CFA"	1	4	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	9.0	84000.0	0.0	2.0	84000.0	0.0	0.14038128	0.0
"KI33"	14	13	"Kiriari"	1	42	10	1	23	7	2	60000	24000	0	0	1.75	0.25	1.0	0	1	1	7	"30"	3000	0																													1	1	10000	2	70000	0	0	1	20000	0	0	0	0	2	10000	0	0	2	1000	0	0	0	0	2	1	0	2	1	1	2	0	1	"40%"	30	"permitted"	"electricity"	"FDAC"	3	4	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	9.0	84000.0	0.0	2.0	84000.0	0.0	0.14038128	0.0
