year	fips_state	s_black	SenElection	presyear	college	college_diff	pci_0000	prior_ue	partyspending	priorue_diff	spending_diff	share_open	share_qual_out2	open_all_share	quality_share_new	outparty_spend	share_open_diff	open_all_share_diff	share_qual_out2_diff	quality_share_diff	outparty_spend_diff	s_black_diff	pci0000_diff	senelec_diff	incparty	GubElection	vep	uerate
1978	1	0.2630000114440918	1	0.0	7.2230876E-4	5.407515E-5	2.1331198	6.8				0.25	0.0	0.0	0.33333334					0.1904762		0.0			0.0	1		0.059
1978	2	0.028999999165534973	1	0.0	0.060277652	-0.019562196	4.12335	9.7						0.0	1.0					0.0		0.0			1.0	1		0.106000006
1978	4	0.029999999329447746	0	0.0	0.053987574	-0.017394919	2.48556	8.4				0.0	0.5	0.0	0.25					0.0		0.0			0.0	1		0.061
1978	5	0.18299999833106995	1	0.0	0.028569726	-0.009153312	2.13477	6.4				0.6666667	0.0	0.25	0.0					0.0		0.0			0.0	1		0.062
1978	6	0.07000000029802322	0	0.0	0.05783481	-0.018623963	3.15876	8.4				0.13793103	0.08	0.0	0.057142857					-0.059136216		0.0			0.0	1		0.072
1978	8	0.029999999329447746	1	0.0	0.06407561	-0.020657286	2.80005	6.3				0.33333334	0.5	0.0	0.6666667					0.06666666		0.0			0.0	1		0.055
1978	9	0.05999999865889549	0	0.0	0.058851212	-0.018863223	3.18648	7.1				0.0	0.0	0.0	0.2					0.03333333		0.0			0.0	1		0.053000003
1978	10	0.14300000667572021	1	0.0	0.05671692	-0.018409394	2.8459198	8.2						0.0	0.0					0.0		0.0				0		0.071
1978	12	0.15600000321865082	0	0.0	0.04401069	-0.014251456	2.5875301	8.3				0.2	0.0	0.0	0.083333336					0.083333336		0.0			0.0	1		0.068
1978	13	0.2590000033378601	1	0.0	0.03962495	-0.012764204	2.2938302	6.9				0.1	0.0	0.0	0.0					-0.1		0.0			0.0	1		0.056999996
1978	15	0.009999999776482582	0	0.0	0.06019568	-0.019484837	3.0066302	7.7				0.0	0.0	0.0	0.0					0.0		0.0			0.0	1		0.067
1978	16	0.003000000026077032	1	0.0	0.04297951	-0.013942823	2.39349	5.6						0.0	1.0					0.5		0.0			0.0	1		0.055
1978	17	0.12800000607967377	1	0.0	0.044444896	-0.014267456	3.043392	6.2				0.16666667	0.1	0.041666668	0.13636364					0.01136364		0.0			1.0	1		0.06
1978	18	0.0689999982714653	0	0.0	0.03575186	-0.011590086	2.6235	5.8				0.0	0.125	0.0	0.18181819					-0.36363637		0.0				0		0.055999998
1978	19	0.012000000104308128	1	0.0	0.039239544	-0.012566056	2.76507	3.9				0.0	0.5	0.0	0.6666667					0.5		0.0			1.0	1		0.039
1978	20	0.04699999839067459	1	0.0	0.048749465	-0.01572581	2.6466	4.0				0.0	0.0	0.0	0.0					-0.6		0.0			1.0	1		0.031
1978	21	0.07199999690055847	1	0.0	0.031198645	-0.010021953	2.230074	4.9				0.2	0.25	0.0	0.16666667					0.16666667		0.0				0		0.053000003
1978	22	0.2980000078678131	1	0.0	0.03889501	-0.012576889	2.2809598	6.8				0.2	0.0	0.125	0.0					-0.125		0.0				0		0.067
1978	23	0.003000000026077032	1	0.0	0.0358613	-0.011612114	2.211	8.2						0.5	0.0					-0.5		0.0			0.0	1		0.063
1978	24	0.17800000309944153	0	0.0	0.059890576	-0.019291483	2.9799	6.1				0.2	0.0	0.0	0.0					-0.25		0.0			0.0	1		0.056999996
1978	25	0.03099999949336052	1	0.0	0.053948876	-0.017380003	2.77926	7.9				0.3	0.0	0.083333336	0.0					-0.083333336		0.0			0.0	1		0.062
1978	26	0.1120000034570694	1	0.0	0.040504266	-0.013085451	2.904	8.2				0.0	0.18181819	0.0	0.22222222					0.0116959065		0.0			1.0	1		0.071
1978	27	0.008999999612569809	1	0.0	0.04774137	-0.015411563	2.7786	5.3				0.25	0.0	0.0	0.16666667					0.04166667		0.0			0.0	1		0.04
1978	28	0.3709999918937683	1	0.0	0.034877703	-0.011194609	1.90344	7.5				0.0	0.0	0.0	0.0					-0.2		0.0				0		0.07
1978	29	0.10300000011920929	0	0.0	0.03851005	-0.012402959	2.558523	5.9				0.0	0.0	0.0	0.1					-0.20000002		0.0				0		0.048
1978	30	0.003000000026077032	1	0.0	0.047107037	-0.015200991	2.52615	5.8				1.0		0.5	1.0					0.0		0.0				0		0.054
1978	31	0.027000000700354576	1	0.0	0.04172581	-0.013420749	2.6499	3.5				0.0	0.0	0.0	0.0					-0.33333334		0.0			0.0	1		0.03
1978	32	0.05700000002980232	0	0.0	0.046978183	-0.015183687	3.20694	7.3				0.0	0.0	0.0	0.0					-1.0		0.0			0.0	1		0.046
1978	33	0.004000000189989805	1	0.0	0.04655851	-0.014945224	2.5509	5.6				0.0	0.0	0.0	0.0					0.0		0.0			1.0	1		0.038
1978	34	0.10700000077486038	1	0.0	0.05092968	-0.016387373	3.08847	9.3				0.09090909	0.2	0.0	0.2857143					-0.18095237		0.0				0		0.073
1978	35	0.01899999938905239	1	0.0	0.054208223	-0.017584484	2.24466	7.6				0.0	0.0	0.0	0.5					0.0		0.0			0.0	1		0.063
1978	36	0.11900000274181366	0	0.0	0.051044717	-0.016505338	2.94624	9.2				0.074074075	0.12	0.0	0.17142858					-0.11062272		0.0			0.0	1		0.078
1978	37	0.22300000488758087	1	0.0	0.036469832	-0.011731662	2.22552	6.0				0.0	0.33333334	0.0	0.27272728					0.0		0.0				0		0.046
1978	38	0.004000000189989805	0	0.0	0.036632694	-0.011740696	2.67135	4.6						0.0	1.0					0.0		0.0				0		0.042
1978	39	0.09099999815225601	0	0.0	0.039816782	-0.012839165	2.73339	6.5				0.0	0.3	0.0	0.27272728					0.055335984		0.0			1.0	1		0.055
1978	40	0.06700000166893005	1	0.0	0.043293074	-0.0139152035	2.42319	5.0				0.2	0.25	0.0	0.2					0.03333333		0.0			0.0	1		0.036
1978	41	0.013000000268220901	1	0.0	0.05056078	-0.01630684	2.7749698	7.5				0.0	0.0	0.0	0.0					0.0		0.0			0.0	1		0.061
1978	42	0.0860000029206276	0	0.0	0.037542634	-0.0121274665	2.72646	7.7				0.11764706	0.2	0.04	0.18181819					0.1418182		0.0			0.0	1		0.069
1978	44	0.027000000700354576	1	0.0	0.040225185	-0.012958743	2.51988	7.7				0.0	0.0	0.0	0.0					0.0		0.0			0.0	1		0.065
1978	45	0.3050000071525574	1	0.0	0.038475215	-0.012435757	2.07933	6.7				0.2	0.0	0.0	0.0					-0.33333334		0.0			1.0	1		0.055
1978	46	0.003000000026077032	1	0.0	0.0370631	-0.011903569	2.4096599	3.5						0.5	0.0					-0.5		0.0			0.0	1		0.033
1978	47	0.16200000047683716	1	0.0	0.03404151	-0.010911524	2.2644598	6.4				0.2	0.0	0.0	0.0					-0.25		0.0			0.0	1		0.059
1978	48	0.12999999523162842	1	0.0	0.046653487	-0.015068073	2.5924802	5.4				0.36363637	0.071428575	0.041666668	0.0625					-0.020833336		0.0			0.0	1		0.048
1978	49	0.006000000052154064	0	0.0	0.06018031	-0.01946425	2.32815	5.3				0.0	0.0	0.0	0.0					-0.5		0.0				0		0.039
1978	50	0.0020000000949949026	0	0.0	0.05347927	-0.017275319	2.3030698	7.1						0.0	0.0					0.0		0.0			1.0	1		0.055
1978	51	0.18799999356269836	1	0.0	0.05303626	-0.017042529	2.64825	5.5				0.0	0.25	0.0	0.1					-0.4		0.0				0		0.051999997
1978	53	0.020999999716877937	0	0.0	0.05466221	-0.017620001	2.9106	8.4				0.2	0.0	0.0	0.33333334					0.1904762		0.0				0		0.068
1978	54	0.03799999877810478	1	0.0	0.029191148	-0.009464316	2.20011	6.7				0.0	0.25	0.0	0.25					0.25		0.0				0		0.06
1978	55	0.028999999165534973	0	0.0	0.042017415	-0.0134714395	2.72151	5.1				0.0	0.14285715	0.0	0.125					-0.097222224		0.0			0.0	1		0.048
1978	56	0.007000000216066837	1	0.0	0.051361762	-0.016525514	3.09078	3.4				1.0		1.0								0.0			0.0	1		0.03
1980	1	0.2630000114440918	1	1.0	0.08845339	0.087785155	2.0445943	6.8	0.011980289			0.0	0.0	0.0	0.16666667	0.007188173				0.023809522	0.007188173	0.0	0.036280155	1.0		0	0.49	0.084
1980	2	0.028999999165534973	1	1.0	0.15910727	0.07926742	3.9128175	9.1	0.0					0.0	0.0	0.0				-1.0	0.0	0.0	-0.66438437	1.0		0	0.59	0.094
1980	4	0.029999999329447746	1	1.0	0.18028322	0.108900726	2.4780743	5.1	0.0292536			0.0	0.0	0.0	0.0	0.0292536				-0.25	0.0292536	0.0	0.18701625	0.0		0	0.46	0.067
1980	5	0.18299999833106995	1	1.0	0.11097993	0.073256895	1.9651622	6.1	0.0			0.0	0.0	0.0	0.25	0.0				0.25	0.0	0.0	0.015816092	1.0		1	0.52	0.075
1980	6	0.07000000029802322	1	1.0	0.19629127	0.11983249	3.1166673	6.2	0.0069198236			0.04	0.125	0.0	0.12195122	0.0026190986				0.028927967	0.0026190986	0.0	0.15503716	0.0		0	0.55	0.069
1980	8	0.029999999329447746	1	1.0	0.21037628	0.12564337	2.7994611	4.6	0.025736062			0.0	1.0	0.0	0.75	0.025736062				0.14999998	0.025736062	0.0	0.19882107	1.0		0	0.57	0.059
1980	9	0.05999999865889549	1	1.0	0.22615607	0.14844164	3.2193542	5.2	0.0128380535			0.4	0.33333334	0.0	0.25	0.0128380535				0.08333333	0.0128380535	0.0	0.2414701	0.0		0	0.64	0.059
1980	10	0.14300000667572021	0	1.0	0.14887218	0.07374587	2.810435	6.9	0.0					0.0	1.0	0.0				1.0	0.0	0.0	0.034025192	-1.0		1	0.56	0.074
1980	12	0.15600000321865082	1	1.0	0.12563351	0.06737136	2.592258	6.0	0.036611117			0.083333336	0.09090909	0.0	0.07692308	0.01560075				0.01025641	0.01560075	0.0	0.18817782	0.0		0	0.52	0.061
1980	13	0.2590000033378601	1	1.0	0.13323501	0.08084585	2.1969264	5.2	0.0011763264			0.11111111	0.0	0.0	0.0	0.0				-0.1	0.0	0.0	0.047240496	1.0		0	0.42	0.062
1980	15	0.009999999776482582	1	1.0	0.17411764	0.09443712	2.9771383	5.7	0.04728075			0.0	0.0	0.0	0.0	0.04728075				0.0	0.04728075	0.0	-0.0015017986	0.0		0	0.47	0.048
1980	16	0.003000000026077032	1	1.0	0.11510387	0.05818154	2.2567618	5.7	0.020342404					0.0	1.0	0.020342404				0.5	0.020342404	0.0	-0.04903817	1.0		0	0.69	0.071
1980	17	0.12800000607967377	1	1.0	0.1642524	0.10554005	2.8688335	5.6	0.01898697			0.2	0.0	0.0	0.04761905	0.012345382				-0.077380955	0.012345382	0.0	-0.011564255	1.0		0	0.6	0.081999995
1980	18	0.0689999982714653	1	1.0	0.09815951	0.05081756	2.4438453	6.4	0.022417707			0.0	0.2857143	0.09090909	0.4	0.022417707				0.12727273	0.022417707	0.0	-0.014666557	0.0		1	0.58	0.096
