age	educ	income	fips_state	black	other	hisp	female	married	republican	democrat	unemployed	incomedk	partyvote	uerate	totalspend_voter_inf
86.0	1	1	5	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.062	1.3673279
20.0	2	1	5	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.062	1.3673279
65.0	2	1	5	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0		0.062	1.3673279
82.0	2	1	19	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.039	0.93441844
62.0	3	2	19	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.039	0.93441844
29.0	2	4	19	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.039	0.93441844
56.0	3	4	56	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.03	2.6138167
31.0	3	3	56	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	0.03	2.6138167
33.0	4	4	56	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.03	2.6138167
56.0	2	2	56	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.03	2.6138167
77.0	4	3	9	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.053000003	1.812191
34.0	2	3	23	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.063	1.5496294
66.0	4	3	48	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.048	2.9205236
55.0	2	4	48	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.048	2.9205236
38.0	4	4	12	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
50.0	4	4	12	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
38.0	2	3	12	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
48.0	2	5	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
67.0	1	2	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
34.0	2	4	12	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.068	2.1497788
43.0	3	5	12	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.068	2.1497788
41.0	2	2	12	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.068	2.1497788
44.0	2	1	9	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.053000003	1.812191
68.0	2	1	1	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.059	2.665316
37.0	4	4	26	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.071	1.7937663
44.0	1	1	26	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.071	1.7937663
57.0	2	5	12	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.068	2.1497788
69.0	2	4	12	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.068	2.1497788
26.0	2	3	55	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.048	1.0654421
48.0	3	5	55	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.048	1.0654421
44.0	3	3	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.059	2.665316
51.0	4	3	39	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.055	1.5178543
52.0	4	3	9	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.053000003	1.812191
32.0	2	4	36	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.078	2.3452868
63.0	2	3	36	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.078	2.3452868
60.0	1	1	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
79.0	2	3	12	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
60.0	4	4	13	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.056999996	0.2540245
75.0	3	1	13	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.056999996	0.2540245
39.0	4	5	17	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.06	1.37532
60.0	2	1	17	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0		0.06	1.37532
28.0	2	3	39	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.055	1.5178543
20.0	3	4	39	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.055	1.5178543
23.0	2	3	39	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.055	1.5178543
57.0	2	2	39	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.055	1.5178543
21.0	2	2	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.078	2.3452868
37.0	2	4	42	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
51.0	2	3	42	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.069	1.2139608
53.0	4	3	39	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.055	1.5178543
23.0	3	4	17	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	0.06	1.37532
19.0	3	3	17	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.06	1.37532
63.0	2	3	12	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0		0.068	2.1497788
60.0	2	3	12	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.068	2.1497788
41.0	2	4	23	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0		0.063	1.5496294
66.0	3	3	23	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.063	1.5496294
63.0	2	2	23	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.063	1.5496294
19.0	2	3	1	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.059	2.665316
